BB,01-002,25,45G,,,,,,x,10/15/2014,0.035,10/30/2014,10/31/2014,124,59.2,115,158.1,11/20/2014,124,90.88,115,95.1,N/A,11/27/2014,124,90.8833333333,-0,-0,115,95.05,2,570.3
BB,01-002,26,45G,,,,x,10/14/2014,x,Destroyed,0.02,10/27/2014,10/29/2014,1,136.88,59,294.4,11/17/2014,1,185.7,59,183.9,N/A,11/27/2014,1,185.7,-0,-0,59,183.925,2,735.7
BB,01-002,27,45G,,,,x,10/14/2014,x,Destroyed,0.045,10/27/2014,10/29/2014,1,136.88,59,294.4,11/17/2014,1,185.7,59,183.9,N/A,11/27/2014,1,185.7,-0,-0,59,183.925,-0,-0
BB,1,28,45G,,,,,,x,10/14/2014,0.165,11/6/2014,11/7/2014,to be processed,to be processed,149,519.2,11/28/2014,149-t,68.15,149,179.15,N/A,11/28/2014,149-t,68.15,1,136.3,149,179.15,1,358.3
BB,1,29,45G,,,,,,x,10/14/2014,0.21,11/6/2014,11/7/2014,to be processed,to be processed,149,519.2,11/28/2014,149-t,68.15,149,179.15,N/A,11/28/2014,149-t,68.15,-0,-0,149,179.15,-0,-0
BB,01-002,30,45G,,,,,,x,10/14/2014,0.05,2014-10-27 + 2014-10-30,10/29/2014,22 124,148.4,76 115,365.93,11/20/2014,22 124,213.75,76 115,223.68,N/A,11/27/2014,22 124,213.75,-0,-0,76 115,223.6833333333,"2 ""115""",570.3
BB,01-002,31,45G,,,,,,x,10/14/2014,0.03,10/27/2014,10/29/2014,22,89.2,76,207.8,11/17/2014,22,122.87,76,128.63,N/A,11/27/2014,22,122.8666666667,1,368.6,76,128.6333333333,1,385.9
BB,01-002,32,45G,,,,,,x,10/14/2014,0.055,10/27/2014,10/29/2014,22,89.2,76,207.8,11/17/2014,22,122.87,76,128.63,N/A,11/27/2014,22,122.8666666667,-0,-0,76,128.6333333333,-0,-0
BB,01-002,33,45G,,,,,,x,10/15/2014,0.055,10/28/2014,10/29/2014,2 124,224,69 115,555.6,11/20/2014,2,206.33,69 115,277.87,N/A,11/27/2014,2,206.3333333333,-0,-0,69 115,277.8666666667,-0,-0
BB,01-002,34,45G,,,,,,x,10/15/2014,0.085,10/27/2014,10/29/2014,1,136.88,59,294.4,11/17/2014,1,185.7,59,183.9,N/A,11/27/2014,1,185.7,-0,-0,59,183.925,-0,-0
